順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"324","↑101","1","425","9507","四国電","東Ｐ","2,176.0","-3.5","-0.16","1","2,971","+1,371","+85.7%","1","14.7","0.90","2.53"
"325","NEW","0","","3003","ヒューリック","東Ｐ","1,734.5","-5.5","-0.32","0","2,961","","","0","10.9","1.39","3.86"
"326","↑100","1","426","4324","電通グループ","東Ｐ","3,593.0","+6.0","+0.17","0","2,941","+1,342","+83.9%","1","13.4","2.20","－"
"327","↓16","0","311","4091","日本酸素ＨＤ","東Ｐ","5,349","-101","-1.85","0","2,937","+395","+15.5%","3","17.7","1.83","1.23"
"328","↑72","2","400","4528","小野薬","東Ｐ","2,314.0","-29.5","-1.26","0","2,937","+1,228","+71.9%","1","15.3","1.25","3.46"
"329","→","0","329","8253","クレセゾン","東Ｐ","4,579","-2","-0.04","0","2,934","+555","+23.3%","2","8.7","0.85","3.49"
"330","↑94","1","424","3132","マクニカＨＤ","東Ｐ","3,755.0","+81.0","+2.20","0","2,932","+1,332","+83.2%","1","21.0","2.34","2.13"
"331","↓16","0","315","3626","ＴＩＳＩ","東Ｐ","3,883","+32","+0.83","0","2,930","+418","+16.6%","3","14.3","2.79","2.32"
"332","↓59","0","273","1944","きんでん","東Ｐ","6,759","-128","-1.86","1","2,924","-116","-3.8%","0","15.9","2.57","3.55"
"333","NEW","0","","7475","アルビス","東Ｐ","3,775","+75","+2.03","0","2,924","","","0","27.0","0.95","－"
"334","↑21","2","355","4768","大塚商会","東Ｐ","3,537.0","+48.0","+1.38","2","2,918","+814","+38.7%","2","20.7","3.24","2.97"
"335","↓76","0","259","3350","メタプラ","東Ｓ","249","-10","-3.86","0","2,876","-383","-11.8%","0","－","0.94","－"
"336","↑24","2","360","8804","東建物","東Ｐ","3,285.0","-20.0","-0.61","1","2,864","+795","+38.4%","2","10.5","1.12","3.84"
"337","↑143","1","480","2644","ＧＸ半導日株","東Ｅ","3,708","-170","-4.38","0","2,798","+1,465","+109.9%","1","－","－","－"
"338","↓63","0","275","2587","サントリＢＦ","東Ｐ","4,451","-5","-0.11","0","2,784","-254","-8.4%","0","15.5","1.02","2.70"
"339","NEW","0","","2264","森永乳","東Ｐ","1,110.5","+21.5","+1.97","0","2,781","","","0","17.1","1.30","2.25"
"340","↑37","2","377","1721","コムシスＨＤ","東Ｐ","5,395","+38","+0.71","1","2,777","+878","+46.2%","2","16.3","1.56","2.50"
"341","↑52","1","393","7951","ヤマハ","東Ｐ","1,226.0","+5.0","+0.41","3","2,770","+1,003","+56.8%","1","17.4","1.09","2.12"
"342","↑126","1","468","5406","神戸鋼","東Ｐ","2,022.0","-7.5","-0.37","0","2,748","+1,379","+100.7%","1","8.0","0.64","3.96"
"343","↓54","0","289","3289","東急不ＨＤ","東Ｐ","1,281.5","-9.5","-0.74","1","2,742","-112","-3.9%","0","9.1","1.00","3.90"
"344","NEW","0","","1343","野村ＲＥＩＴ","東Ｅ","1,888.0","-21.5","-1.13","0","2,721","","","0","－","－","－"
"345","↓63","0","282","3778","さくらネット","東Ｐ","3,670","-215","-5.53","0","2,720","-197","-6.8%","0","98.0","4.78","0.15"
"346","↓11","0","335","8341","七十七","東Ｐ","3,978","+18","+0.45","0","2,713","+417","+18.2%","2","14.4","1.17","2.61"
"347","NEW","0","","6941","山一電機","東Ｐ","7,650","-40","-0.52","0","2,688","","","0","13.7","2.88","2.20"
"348","↓60","0","288","6952","カシオ","東Ｐ","2,001.5","-59.5","-2.89","0","2,667","-218","-7.6%","0","18.7","1.86","－"
"349","↓111","0","238","5805","ＳＷＣＣ","東Ｐ","13,420","-450","-3.24","1","2,662","-995","-27.2%","0","17.3","3.93","2.32"
"350","↓22","0","328","6368","オルガノ","東Ｐ","12,080","-230","-1.87","1","2,653","+274","+11.5%","1","18.5","3.91","1.82"
"351","↑78","1","429","4612","日本ペＨＤ","東Ｐ","1,093.5","-21.0","-1.88","0","2,638","+1,060","+67.2%","1","13.4","1.27","1.55"
"352","↑45","1","397","3391","ツルハＨＤ","東Ｐ","2,240.0","-38.5","-1.69","1","2,630","+893","+51.4%","1","24.5","1.16","2.14"
"353","NEW","0","","8972","ＫＤＸ不動産","東Ｒ","146,400","-400","-0.27","0","2,625","","","0","18.5","0.92","5.77"
"354","↑21","1","375","1346","ＭＸ２２５","東Ｅ","66,260","-1,210","-1.79","0","2,612","+697","+36.4%","1","－","－","－"
"355","↓17","0","338","7211","三菱自","東Ｐ","366.1","+5.8","+1.61","1","2,606","+359","+16.0%","1","19.6","0.53","2.73"
"356","↑30","1","386","2525","農中日経平均","東Ｅ","64,400","-1,110","-1.69","0","2,572","+751","+41.2%","1","－","－","－"
"357","↑71","1","428","9023","東京メトロ","東Ｐ","1,530.0","+11.0","+0.72","2","2,570","+988","+62.5%","1","17.8","1.20","2.88"
"358","↓96","0","262","186A","アストロＨＤ","東Ｇ","1,015","-7","-0.68","1","2,562","-609","-19.2%","0","－","18.84","－"
"359","↓166","0","193","7966","リンテック","東Ｐ","5,170","-150","-2.82","0","2,560","-2,138","-45.5%","0","15.9","1.19","2.32"
"360","↑78","1","438","9007","小田急","東Ｐ","1,803.0","+7.0","+0.39","0","2,558","+1,027","+67.1%","1","15.9","1.20","3.33"
"361","↑42","3","403","9009","京成","東Ｐ","1,376.0","-19.0","-1.36","0","2,553","+856","+50.4%","1","16.9","1.18","1.60"
"362","↓9","0","353","9684","スクエニＨＤ","東Ｐ","2,877.0","+21.5","+0.75","0","2,553","+425","+20.0%","3","33.5","2.93","1.49"
"363","↓36","0","327","6754","アンリツ","東Ｐ","3,145.0","-44.0","-1.38","0","2,552","+166","+7.0%","1","26.8","3.02","1.59"
"364","↓92","0","272","9831","ヤマダＨＤ","東Ｐ","717.0","+4.9","+0.69","0","2,551","-533","-17.3%","0","17.1","0.75","2.37"
"365","↑33","1","398","7731","ニコン","東Ｐ","1,697.0","-24.5","-1.42","2","2,550","+816","+47.1%","1","55.9","0.94","1.18"
"366","↓81","0","285","3064","モノタロウ","東Ｐ","1,904.5","+8.5","+0.45","0","2,547","-351","-12.1%","0","25.9","7.75","1.94"
"367","↓19","0","348","3086","Ｊフロント","東Ｐ","2,599.5","-4.5","-0.17","0","2,530","+369","+17.1%","2","21.9","1.55","2.15"
"368","↓42","0","326","7581","サイゼリヤ","東Ｐ","6,730","-230","-3.30","1","2,519","+118","+4.9%","1","28.0","2.53","0.52"
"369","↓10","0","359","6728","アルバック","東Ｐ","6,911","-108","-1.54","0","2,501","+431","+20.8%","2","17.9","1.41","2.20"
"370","↑37","1","407","1515","日鉄鉱","東Ｐ","3,355","-300","-8.21","0","2,497","+806","+47.7%","1","21.5","1.63","1.85"
"371","NEW","0","","5929","三和ＨＤ","東Ｐ","3,356.0","-44.0","-1.29","0","2,496","","","0","11.6","2.06","4.35"
"372","↓65","0","307","8358","スルガ銀","東Ｐ","2,812","+8","+0.29","1","2,495","-129","-4.9%","0","14.8","1.43","2.13"
"373","↑33","1","406","7752","リコー","東Ｐ","1,583.0","+25.5","+1.64","3","2,493","+801","+47.3%","1","14.3","0.75","2.78"
"374","↑2","1","376","3197","すかいらーく","東Ｐ","3,298.0","-44.0","-1.32","0","2,484","+578","+30.3%","1","36.6","3.85","0.82"
"375","↑79","1","454","2871","ニチレイ","東Ｐ","2,168.5","+16.0","+0.74","2","2,475","+1,044","+73.0%","1","20.0","1.89","3.07"
"376","↑9","1","385","9024","西武ＨＤ","東Ｐ","3,510.0","-56.0","-1.57","1","2,470","+635","+34.6%","1","33.1","1.55","1.20"
"377","↑42","1","419","6278","ユニオンツル","東Ｐ","12,460","-690","-5.25","0","2,468","+840","+51.6%","1","19.7","2.03","1.20"
"378","↓16","0","362","3092","ＺＯＺＯ","東Ｐ","1,111.0","+3.5","+0.32","2","2,458","+441","+21.9%","1","19.5","9.82","3.60"
"379","↓82","0","297","8918","ランド","東Ｓ","11","+1","+10.00","1","2,444","-323","-11.7%","0","12.5","1.78","－"
"380","NEW","0","","3281","ＧＬＰ","東Ｒ","132,900","-700","-0.52","0","2,435","","","0","20.5","1.41","5.46"
"381","↑33","2","414","4368","扶桑化学","東Ｐ","2,790","-81","-2.82","0","2,419","+769","+46.6%","2","15.4","2.40","1.00"
"382","↑100","1","482","563A","ＧＸＮデカバ","東Ｅ","999","-7","-0.70","0","2,362","+1,032","+77.6%","1","－","－","－"
"383","↑38","2","421","9041","近鉄ＧＨＤ","東Ｐ","3,508.0","+35.0","+1.01","1","2,360","+746","+46.2%","2","14.2","1.07","2.00"
"384","↓136","0","248","3905","データセク","東Ｇ","1,544","-61","-3.80","0","2,352","-1,080","-31.5%","0","6.1","2.12","－"
"385","↑58","3","443","9042","阪急阪神","東Ｐ","4,622","-26","-0.56","1","2,350","+841","+55.7%","3","13.5","0.96","2.16"
"386","↓37","0","349","1808","長谷工","東Ｐ","2,713.0","-38.5","-1.40","1","2,343","+183","+8.5%","2","10.9","1.26","3.69"
"387","↑35","1","422","1320","ｉＦ日経年１","東Ｅ","66,050","-1,250","-1.86","0","2,341","+732","+45.5%","1","－","－","－"
"388","↓205","0","183","9412","スカＪＳＡＴ","東Ｐ","1,918","-33","-1.69","1","2,336","-2,683","-53.5%","0","20.1","1.78","2.50"
"389","↓8","0","381","429A","テクセンド","東Ｐ","3,750","-195","-4.94","0","2,327","+459","+24.6%","2","15.7","2.10","1.87"
"390","↑109","1","499","7327","第四北越ＦＧ","東Ｐ","2,639","+20","+0.76","0","2,327","+1,074","+85.7%","1","13.1","1.16","3.03"
"391","↓35","0","356","6674","ＧＳユアサ","東Ｐ","4,976","-161","-3.13","0","2,317","+224","+10.7%","1","12.6","1.27","1.97"
